"person","givenName","surname"
"http://dbpedia.org/resource/August_Coppola","August","Coppola"
"http://dbpedia.org/resource/Barton_Paul_Levenson","Barton Paul","Levenson"
"http://dbpedia.org/resource/Brian_Nelson_(screenwriter)","Brian","Nelson"
"http://dbpedia.org/resource/Chris_Agee","Chris","Agee"
"http://dbpedia.org/resource/James_H._Hyslop","James H.","Hyslop"
"http://dbpedia.org/resource/Constance_Laux","Constance","Laux"
"http://dbpedia.org/resource/Grace_Flandrau","Grace","Flandrau"
"http://dbpedia.org/resource/Jack_Orman","Jack","Orman"
"http://dbpedia.org/resource/Janaka_Stucky","Janaka","Stucky"
"http://dbpedia.org/resource/Keith_Herber","Keith","Herber"
"http://dbpedia.org/resource/Loretta_Chase","Loretta","Chase"
"http://dbpedia.org/resource/Michael_Leahy_(author)","Michael","Leahy"
"http://dbpedia.org/resource/Michael_Perkins_(poet)","Michael","Perkins"
"http://dbpedia.org/resource/Tim_Kring","Tim","Kring"
"http://dbpedia.org/resource/Jeff_Lindsay_(writer)","Jeff","Lindsay"
"http://dbpedia.org/resource/Hal_Roth","Hal","Roth"
"http://dbpedia.org/resource/Douglas_J._Eboch","Douglas J.","Eboch"
"http://dbpedia.org/resource/Iimani_David","Iimani","David"
"http://dbpedia.org/resource/Nick_Arvin","Nick","Arvin"
"http://dbpedia.org/resource/Alex_Shoumatoff","Alex Shoumatoff","Shoumatoff"
"http://dbpedia.org/resource/Carrie_Weaver","Carrier","Weaver"
"http://dbpedia.org/resource/Debra_Webb","Debra","Webb"
"http://dbpedia.org/resource/Elmer_Towns","Elmer","Towns"
"http://dbpedia.org/resource/Eugie_Foster","Eugie","Foster"
"http://dbpedia.org/resource/James_Grady_(author)","James","Grady"
"http://dbpedia.org/resource/Jessica_Andersen","Jessica","Andersen"
"http://dbpedia.org/resource/Joanna_Wayne","Joanna","Wayne"
"http://dbpedia.org/resource/Peggy_Webb","Peggy","Webb"
"http://dbpedia.org/resource/Rafael_Alvarez","Rafael","Alvarez"
"http://dbpedia.org/resource/Rex_Weyler","Rex","Weyler"
"http://dbpedia.org/resource/Robin_House_Wells","Robin","Wells"
"http://dbpedia.org/resource/Simon_Rich","Simon","Rich"
"http://dbpedia.org/resource/Taylor_Mali","Taylor","Mali"
"http://dbpedia.org/resource/Alexis_De_Veaux","Alexis","Deveaux"
"http://dbpedia.org/resource/Craig_Czury","Craig","Czury"
"http://dbpedia.org/resource/Cristy_Road","Cristy C","Road"
"http://dbpedia.org/resource/Ken_Eklund","Ken","Eklund"
"http://dbpedia.org/resource/Sofia_Samatar","Sofia","Samatar"
"http://dbpedia.org/resource/T._Zachary_Cotler","Theodore","Cotler"
"http://dbpedia.org/resource/Anne_Barton","Anne","Barton"
"http://dbpedia.org/resource/Ed_Solomon","Ed","Solomon"
"http://dbpedia.org/resource/Lydia_Woodward","Lydia","Woodward"
"http://dbpedia.org/resource/Peter_S._Fischer","Peter S.","Fischer"
"http://dbpedia.org/resource/Christopher_Lane","Christopher","Lane"
"http://dbpedia.org/resource/Franz-Olivier_Giesbert","Franz-Olivier","Giesbert"
"http://dbpedia.org/resource/Bruce_Kiskaddon","Bruce","Kiskaddon"
"http://dbpedia.org/resource/Alex_Finlayson","Alex","Finlayson"
"http://dbpedia.org/resource/Judson_Crews","Judson","Crews"
"http://dbpedia.org/resource/Maiya_Williams","Maiya","Williams"
"http://dbpedia.org/resource/Daniel_Sully","Daniel","Sully"
"http://dbpedia.org/resource/Marcia_Levin","Marcia","Levin"
"http://dbpedia.org/resource/Victoria_Hochberg","Victoria","Hochberg"
"http://dbpedia.org/resource/Beth_Gylys","Beth","Gylys"
"http://dbpedia.org/resource/Hilary_Henkin","Hilary","Henkin"
"http://dbpedia.org/resource/Patricia_Ryan_(author)","Patricia Burford","Ryan"
"http://dbpedia.org/resource/David_Dobkin_(director)","David","Dobkin"
"http://dbpedia.org/resource/Sharman_Apt_Russell","Sharman Apt","Russell"
"http://dbpedia.org/resource/Cornel_Lengyel","Cornel","Lengyel"
"http://dbpedia.org/resource/Don_Rhymer","Don","Rhymer"
"http://dbpedia.org/resource/Konrad_Tuchscherer","Konrad","Tuchscherer"
"http://dbpedia.org/resource/Lev_Yilmaz","Lev","Yilmaz"
"http://dbpedia.org/resource/Rachel_Kushner","Rachel","Kushner"
"http://dbpedia.org/resource/Elizabeth_Lambert","Penelope","Williamson"
"http://dbpedia.org/resource/Elizabeth_Post","Elizabeth","Post"
"http://dbpedia.org/resource/Heidi_Julavits","Heidi","Julavits"
"http://dbpedia.org/resource/Jeff_Burk","Jeff","Burk"
"http://dbpedia.org/resource/Mary_Elizabeth_Counselman","Mary Elizabeth","Counselman"
"http://dbpedia.org/resource/Eric_Durchholz","Eric","Durchholz"
"http://dbpedia.org/resource/Heather_McHugh","Heather","McHugh"
"http://dbpedia.org/resource/Daniel_Seeger","Daniel Andrew","Seeger"
"http://dbpedia.org/resource/David_Hitt","David","Hitt"
"http://dbpedia.org/resource/Gyo_Fujikawa","Gyo","Fujikawa"
"http://dbpedia.org/resource/Joseph_Rago","Joseph","Rago"
"http://dbpedia.org/resource/Michael_Ross_(screenwriter)","Michael","Ross"
"http://dbpedia.org/resource/Paul_Black_(author)","Paul","Black"
"http://dbpedia.org/resource/William_Henry_Venable","William Henry","Venable"
"http://dbpedia.org/resource/Andrew_Carroll","Andrew","Carroll"
"http://dbpedia.org/resource/Dan_Fagin","Dan","Fagin"
"http://dbpedia.org/resource/Derek_Blasberg","Derek","Blasberg"
"http://dbpedia.org/resource/Lee_Rogers_(podiatrist)","Lee","Rogers"
"http://dbpedia.org/resource/Lori_Wilde","Laura Blabock","Moeller"
"http://dbpedia.org/resource/Mandy_Van_Deven","Mandy","Van Deven"
"http://dbpedia.org/resource/Nic_Kelman","Nic","Kelman"
"http://dbpedia.org/resource/Rachel_Aukes","Rachel","Aukes"
"http://dbpedia.org/resource/Charles_Hale_Hoyt","Charles Hale","Hoyt"
"http://dbpedia.org/resource/Dave_Lindorff","David","Lindorff"
"http://dbpedia.org/resource/Charlie_LeDuff","Charlie","LeDuff"
"http://dbpedia.org/resource/Jeffrey_E._Barlough","Jeffrey E.","Barlough"
"http://dbpedia.org/resource/Laura_Numeroff","Laura","Numeroff"
"http://dbpedia.org/resource/Linwood_Barclay","Linwood","Barclay"
"http://dbpedia.org/resource/Betina_Krahn","Betina","Krahn"
"http://dbpedia.org/resource/Catherine_Anderson","Catherine","Anderson"
"http://dbpedia.org/resource/Gaelen_Foley","Gaelen","Foley"
"http://dbpedia.org/resource/Jennifer_Baumgardner","Jennifer","Baumgardner"
"http://dbpedia.org/resource/Julie_Elizabeth_Leto","Julie Elizabeth","Leto"
"http://dbpedia.org/resource/Kathleen_E._Woodiwiss","Kathleen","Woodiwiss"
"http://dbpedia.org/resource/Kristin_Hannah","Kristin","Hannah"
"http://dbpedia.org/resource/Lee_Kohse","Lee","Kohse"
"http://dbpedia.org/resource/Merlin_Mann","Merlin","Mann"
"http://dbpedia.org/resource/Patricia_Grasso","Patricia","Grasso"
"http://dbpedia.org/resource/Robin_Parrish","Robin","Parrish"
"http://dbpedia.org/resource/Ruth_Jean_Dale","Ruth Jean","Dale"
"http://dbpedia.org/resource/Susan_Andersen","Susan","Andersen"
"http://dbpedia.org/resource/Bud_Webster","Bud","Webster"
"http://dbpedia.org/resource/Connie_Brockway","Connie","Brockway"
"http://dbpedia.org/resource/Jim_Provenzano","Jim","Provenzano"
"http://dbpedia.org/resource/Marissa_Moss","Marissa","Moss"
"http://dbpedia.org/resource/Donald_E._Stewart","Donald E","Stewart"
"http://dbpedia.org/resource/James_Lee_Barrett","James Lee","Barrett"
"http://dbpedia.org/resource/Kenneth_S._Stern","Kenneth S.","Stern"
"http://dbpedia.org/resource/Mike_Sheffield","Mike","Sheffield"
"http://dbpedia.org/resource/David_St._John","David","St. John"
"http://dbpedia.org/resource/James_Moss_Cardwell","James","Cardwell"
"http://dbpedia.org/resource/Karlous_Miller","Karlous","Miller"
"http://dbpedia.org/resource/Leonard_Bacon_(poet)","Leonard","Bacon"
"http://dbpedia.org/resource/Teresa_Cohen","Teresa","Cohen"
"http://dbpedia.org/resource/David_H._Greene","David H.","Greene"
"http://dbpedia.org/resource/Henry_Payson_Dowst","Henry Payson","Dowst"
"http://dbpedia.org/resource/Brian_R._James","Brian R.","James"
"http://dbpedia.org/resource/Charles_Soule","Charles","Soule"
"http://dbpedia.org/resource/Geoffrey_Douglas","Geoffrey","Douglas"
"http://dbpedia.org/resource/Anne-Marie_Baiynd","Anne-Marie","Baiynd"
"http://dbpedia.org/resource/Clelia_Duel_Mosher","Clelia Duel","Mosher"
"http://dbpedia.org/resource/Ralph_Hoffmann","Ralph","Hoffmann"
"http://dbpedia.org/resource/Robert_Hunter_(author)","Wiles Robert","Hunter"
"http://dbpedia.org/resource/Brian_Blume","Brian","Blume"
"http://dbpedia.org/resource/Carol_Sobieski","Carol","Sobieski"
"http://dbpedia.org/resource/David_Bell_(author)","David J.","Bell"
"http://dbpedia.org/resource/Ruth_Gruber","Ruth","Gruber"
"http://dbpedia.org/resource/Sherryl_Woods","Sherryl","Woods"
"http://dbpedia.org/resource/Thomas_Zimmerman","Thomas C.","Zimmerman"
"http://dbpedia.org/resource/Kameron_Hurley","Kameron","Hurley"
"http://dbpedia.org/resource/Audrey_Wurdemann","Audrey","Wurdemann"
"http://dbpedia.org/resource/Lewis_A._McArthur","Lewis A. “Tam”","McArthur"
"http://dbpedia.org/resource/Stephen_Sternberg","Stephen","Sternberg"
"http://dbpedia.org/resource/Renee_Peck","Renee","Peck"
"http://dbpedia.org/resource/Douglas_Z._Doty","Douglas Z.","Doty"
"http://dbpedia.org/resource/Themo_H._Peel","Themo","Peel"
"http://dbpedia.org/resource/Ernest_Neal","Ernest","Neal"
"http://dbpedia.org/resource/Jenny_Lumet","Jenny","Lumet"
"http://dbpedia.org/resource/Laurel_Braitman","Laurel","Braitman"
"http://dbpedia.org/resource/Allison_Davis","Allison","Davis"
"http://dbpedia.org/resource/John_Bollinger","John","Bollinger"
"http://dbpedia.org/resource/Pearl_Schiff","Pearl","Schiff"
"http://dbpedia.org/resource/Rane_Arroyo","Rane","Arroyo"
"http://dbpedia.org/resource/Amiri_Baraka","Amiri","Baraka"
"http://dbpedia.org/resource/Elizabeth_Oehlkers_Wright","Elizabeth","Oehlkers Wright"
"http://dbpedia.org/resource/Michael_Rogers_(blogger)","Michael","Rogers"
"http://dbpedia.org/resource/Robert_Duncan_(writer)","Robert","Duncan"
"http://dbpedia.org/resource/H._Rutherford_Turnbull","H. Rutherford","Turnbull"
"http://dbpedia.org/resource/Sam_Kelley","Sam","Kelley"
"http://dbpedia.org/resource/Joseph_H._Crawford,_Jr.","Joseph H. Jr.","Crawford"
"http://dbpedia.org/resource/Linda_Bloodworth-Thomason","Linda","Bloodworth-Thomason"
